id,name,contained_in,is_leaf
B2-492,"Salate, Aufstriche","['B2-4', 'B2-49']",True
B2-5,Tiefkühl,[],False
B2-55,Gemüse & Kräuter,['B2-5'],True
B2-56,Pommes Frites & Co.,['B2-5'],True
B2-51,Eis,['B2-5'],False
B2-511,Eisbecher,"['B2-5', 'B2-51']",True
B2-512,Stanitzel & Lutscher,"['B2-5', 'B2-51']",True
B2-513,Eiswaffeln,"['B2-5', 'B2-51']",True
B2-53,Fertiggerichte,['B2-5'],False
B2-531,Fleisch & Fisch,"['B2-5', 'B2-53']",True
B2-532,Geflügel,"['B2-5', 'B2-53']",True
B2-533,Knödel & Beilagen,"['B2-5', 'B2-53']",True
B2-534,Lasagne,"['B2-5', 'B2-53']",True
B2-535,Reis & Gemüse,"['B2-5', 'B2-53']",True
B2-537,"Pasta, Pfannen & Schmankerl","['B2-5', 'B2-53']",True
